date	close	company
3-Jan-05	13.41	ORCL
4-Jan-05	13.06	ORCL
5-Jan-05	13.1	ORCL
6-Jan-05	13.22	ORCL
7-Jan-05	13.33	ORCL
10-Jan-05	13.19	ORCL
11-Jan-05	13.2	ORCL
12-Jan-05	13.48	ORCL
13-Jan-05	13.48	ORCL
14-Jan-05	13.63	ORCL
18-Jan-05	13.78	ORCL
19-Jan-05	13.47	ORCL
20-Jan-05	13.28	ORCL
21-Jan-05	13.31	ORCL
24-Jan-05	13.24	ORCL
25-Jan-05	13.59	ORCL
26-Jan-05	13.62	ORCL
27-Jan-05	13.97	ORCL
28-Jan-05	13.68	ORCL
31-Jan-05	13.77	ORCL
1-Feb-05	13.65	ORCL
2-Feb-05	13.56	ORCL
3-Feb-05	13.34	ORCL
4-Feb-05	13.66	ORCL
7-Feb-05	13.55	ORCL
8-Feb-05	13.47	ORCL
9-Feb-05	13.17	ORCL
10-Feb-05	13.14	ORCL
11-Feb-05	13.35	ORCL
14-Feb-05	13.31	ORCL
15-Feb-05	13.29	ORCL
16-Feb-05	13.33	ORCL
17-Feb-05	12.96	ORCL
18-Feb-05	12.94	ORCL
22-Feb-05	12.66	ORCL
23-Feb-05	12.95	ORCL
24-Feb-05	13.01	ORCL
25-Feb-05	13.13	ORCL
28-Feb-05	12.95	ORCL
1-Mar-05	13.15	ORCL
2-Mar-05	13.05	ORCL
3-Mar-05	13.09	ORCL
4-Mar-05	13.28	ORCL
7-Mar-05	13.6	ORCL
8-Mar-05	13.62	ORCL
9-Mar-05	13.35	ORCL
10-Mar-05	13.26	ORCL
11-Mar-05	13.09	ORCL
14-Mar-05	13.15	ORCL
15-Mar-05	13.15	ORCL
16-Mar-05	13.02	ORCL
17-Mar-05	13.16	ORCL
18-Mar-05	12.54	ORCL
21-Mar-05	12.65	ORCL
22-Mar-05	12.49	ORCL
23-Mar-05	12.51	ORCL
24-Mar-05	12.4	ORCL
28-Mar-05	12.43	ORCL
29-Mar-05	12.28	ORCL
30-Mar-05	12.48	ORCL
31-Mar-05	12.48	ORCL
1-Apr-05	12.53	ORCL
4-Apr-05	12.69	ORCL
5-Apr-05	12.45	ORCL
6-Apr-05	12.38	ORCL
7-Apr-05	12.45	ORCL
8-Apr-05	12.36	ORCL
11-Apr-05	12.4	ORCL
12-Apr-05	12.49	ORCL
13-Apr-05	12.26	ORCL
14-Apr-05	12.09	ORCL
15-Apr-05	11.7	ORCL
18-Apr-05	11.8	ORCL
19-Apr-05	11.88	ORCL
20-Apr-05	11.78	ORCL
21-Apr-05	12.17	ORCL
22-Apr-05	11.92	ORCL
25-Apr-05	12.07	ORCL
26-Apr-05	11.88	ORCL
27-Apr-05	11.9	ORCL
28-Apr-05	11.62	ORCL
29-Apr-05	11.56	ORCL
2-May-05	11.6	ORCL
3-May-05	11.59	ORCL
4-May-05	11.72	ORCL
5-May-05	11.66	ORCL
6-May-05	11.76	ORCL
9-May-05	11.75	ORCL
10-May-05	11.52	ORCL
11-May-05	11.7	ORCL
12-May-05	11.89	ORCL
13-May-05	12.36	ORCL
16-May-05	12.35	ORCL
17-May-05	12.21	ORCL
18-May-05	12.33	ORCL
19-May-05	12.43	ORCL
20-May-05	12.55	ORCL
23-May-05	12.7	ORCL
24-May-05	12.8	ORCL
25-May-05	12.75	ORCL
26-May-05	12.92	ORCL
27-May-05	12.85	ORCL
31-May-05	12.8	ORCL
