date	close	company
3-Jan-05	26.74	MSFT
4-Jan-05	26.84	MSFT
5-Jan-05	26.780001	MSFT
6-Jan-05	26.75	MSFT
7-Jan-05	26.67	MSFT
10-Jan-05	26.799999	MSFT
11-Jan-05	26.73	MSFT
12-Jan-05	26.780001	MSFT
13-Jan-05	26.27	MSFT
14-Jan-05	26.120001	MSFT
18-Jan-05	26.32	MSFT
19-Jan-05	25.98	MSFT
20-Jan-05	25.860001	MSFT
21-Jan-05	25.65	MSFT
24-Jan-05	25.67	MSFT
25-Jan-05	26.02	MSFT
26-Jan-05	26.01	MSFT
27-Jan-05	26.110001	MSFT
28-Jan-05	26.18	MSFT
31-Jan-05	26.280001	MSFT
1-Feb-05	26.389999	MSFT
2-Feb-05	26.459999	MSFT
3-Feb-05	26.18	MSFT
4-Feb-05	26.32	MSFT
7-Feb-05	26.16	MSFT
8-Feb-05	26.24	MSFT
9-Feb-05	26.07	MSFT
10-Feb-05	26.059999	MSFT
11-Feb-05	25.969999	MSFT
14-Feb-05	26.01	MSFT
15-Feb-05	25.93	MSFT
16-Feb-05	25.790001	MSFT
17-Feb-05	25.65	MSFT
18-Feb-05	25.48	MSFT
22-Feb-05	25.23	MSFT
23-Feb-05	25.200001	MSFT
24-Feb-05	25.370001	MSFT
25-Feb-05	25.25	MSFT
28-Feb-05	25.16	MSFT
1-Mar-05	25.280001	MSFT
2-Mar-05	25.26	MSFT
3-Mar-05	25.17	MSFT
4-Mar-05	25.17	MSFT
7-Mar-05	25.469999	MSFT
8-Mar-05	25.4	MSFT
9-Mar-05	25.309999	MSFT
10-Mar-05	25.43	MSFT
11-Mar-05	25.09	MSFT
14-Mar-05	25.110001	MSFT
15-Mar-05	24.91	MSFT
16-Mar-05	24.629999	MSFT
17-Mar-05	24.540001	MSFT
18-Mar-05	24.309999	MSFT
21-Mar-05	24.200001	MSFT
22-Mar-05	23.99	MSFT
23-Mar-05	24.18	MSFT
24-Mar-05	24.280001	MSFT
28-Mar-05	24.200001	MSFT
29-Mar-05	23.92	MSFT
30-Mar-05	24.16	MSFT
31-Mar-05	24.17	MSFT
1-Apr-05	24.120001	MSFT
4-Apr-05	24.23	MSFT
5-Apr-05	24.469999	MSFT
6-Apr-05	24.67	MSFT
7-Apr-05	25.1	MSFT
8-Apr-05	24.940001	MSFT
11-Apr-05	24.969999	MSFT
12-Apr-05	25.32	MSFT
13-Apr-05	25.040001	MSFT
14-Apr-05	24.84	MSFT
15-Apr-05	24.459999	MSFT
18-Apr-05	24.65	MSFT
19-Apr-05	24.629999	MSFT
20-Apr-05	24.32	MSFT
21-Apr-05	25.280001	MSFT
22-Apr-05	24.98	MSFT
25-Apr-05	24.99	MSFT
26-Apr-05	24.76	MSFT
27-Apr-05	24.99	MSFT
28-Apr-05	24.450001	MSFT
29-Apr-05	25.299999	MSFT
2-May-05	25.23	MSFT
3-May-05	25.360001	MSFT
4-May-05	25.209999	MSFT
5-May-05	25.23	MSFT
6-May-05	25.219999	MSFT
9-May-05	25.110001	MSFT
10-May-05	24.9	MSFT
11-May-05	24.91	MSFT
12-May-05	25	MSFT
13-May-05	25.299999	MSFT
16-May-05	25.49	MSFT
17-May-05	25.459999	MSFT
18-May-05	25.700001	MSFT
19-May-05	25.92	MSFT
20-May-05	25.74	MSFT
23-May-05	25.85	MSFT
24-May-05	25.75	MSFT
25-May-05	25.709999	MSFT
26-May-05	25.9	MSFT
27-May-05	26.07	MSFT
31-May-05	25.799999	MSFT
1-Jun-05	25.809999	MSFT
2-Jun-05	25.790001	MSFT
3-Jun-05	25.43	MSFT
6-Jun-05	25.370001	MSFT
7-Jun-05	25.51	MSFT
8-Jun-05	25.4	MSFT
9-Jun-05	25.51	MSFT
10-Jun-05	25.43	MSFT
13-Jun-05	25.309999	MSFT
14-Jun-05	25.360001	MSFT
15-Jun-05	25.26	MSFT
16-Jun-05	25.040001	MSFT
17-Jun-05	25.040001	MSFT
20-Jun-05	25.110001	MSFT
21-Jun-05	25.15	MSFT
22-Jun-05	25.07	MSFT
23-Jun-05	25.309999	MSFT
24-Jun-05	25.040001	MSFT
27-Jun-05	25.049999	MSFT
28-Jun-05	25.07	MSFT
29-Jun-05	25.09	MSFT
30-Jun-05	24.84	MSFT
1-Jul-05	24.709999	MSFT
5-Jul-05	24.98	MSFT
6-Jul-05	24.700001	MSFT
7-Jul-05	24.65	MSFT
8-Jul-05	25.09	MSFT
11-Jul-05	25.290001	MSFT
12-Jul-05	25.610001	MSFT
13-Jul-05	25.66	MSFT
14-Jul-05	25.969999	MSFT
15-Jul-05	25.790001	MSFT
18-Jul-05	25.549999	MSFT
19-Jul-05	26.16	MSFT
20-Jul-05	26.190001	MSFT
21-Jul-05	26.440001	MSFT
22-Jul-05	25.68	MSFT
25-Jul-05	25.690001	MSFT
26-Jul-05	25.540001	MSFT
27-Jul-05	25.719999	MSFT
28-Jul-05	25.75	MSFT
29-Jul-05	25.610001	MSFT
1-Aug-05	25.92	MSFT
2-Aug-05	26.809999	MSFT
3-Aug-05	27.25	MSFT
4-Aug-05	27.32	MSFT
5-Aug-05	27.76	MSFT
8-Aug-05	27.129999	MSFT
9-Aug-05	27.35	MSFT
10-Aug-05	26.950001	MSFT
11-Aug-05	27.27	MSFT
12-Aug-05	27.049999	MSFT
15-Aug-05	27.129999	MSFT
16-Aug-05	26.74	MSFT
17-Aug-05	26.950001	MSFT
18-Aug-05	26.82	MSFT
19-Aug-05	26.719999	MSFT
22-Aug-05	26.91	MSFT
23-Aug-05	26.870001	MSFT
24-Aug-05	26.809999	MSFT
25-Aug-05	27.030001	MSFT
26-Aug-05	26.969999	MSFT
29-Aug-05	27.15	MSFT
30-Aug-05	27.18	MSFT
31-Aug-05	27.379999	MSFT
1-Sep-05	27.200001	MSFT
2-Sep-05	27.02	MSFT
6-Sep-05	27	MSFT
7-Sep-05	26.85	MSFT
8-Sep-05	26.610001	MSFT
9-Sep-05	26.58	MSFT
12-Sep-05	26.610001	MSFT
13-Sep-05	26.48	MSFT
14-Sep-05	26.309999	MSFT
15-Sep-05	26.27	MSFT
16-Sep-05	26.07	MSFT
19-Sep-05	26	MSFT
20-Sep-05	25.84	MSFT
